Gender,Education,Life Expectancy,Avg. Income,Country,Continent
Female,10.40,70.80,3459,Vanuatu,Oceania
Total,13.60,73.10,0,Venezuela,South America
Male,12.60,69.40,20828,Venezuela,South America
Female,14.70,77.10,20828,Venezuela,South America
Total,12.00,74.80,2540,Vietnam,Asia
Male,12.10,70.70,4770,Vietnam,Asia
Female,12.10,78.90,4770,Vietnam,Asia
Total,8.60,65.50,940,Yemen,Asia
Male,9.90,63.90,6522,Yemen,Asia
Female,7.20,67.20,6522,Yemen,Asia
Total,11.00,55.70,1450,Zambia,Africa
Male,11.50,53.50,3661,Zambia,Africa
Female,10.60,57.80,3661,Zambia,Africa
Total,10.10,50.60,1390,Zimbabwe,Africa
Male,10.30,48.90,1958,Zimbabwe,Africa
Female,10.00,52.20,1958,Zimbabwe,Africa
